iter	Passed	Remaining
401	17702	26333
402	17751	26296
403	17794	26251
404	17834	26201
405	17879	26158
406	17925	26117
407	17966	26068
408	18011	26026
409	18050	25975
410	18089	25924
411	18126	25870
412	18168	25822
413	18211	25777
414	18258	25738
415	18301	25692
416	18343	25645
417	18391	25607
418	18436	25564
419	18480	25520
420	18520	25471
421	18555	25414
422	18597	25367
423	18637	25319
424	18681	25275
425	18725	25231
426	18786	25210
427	18832	25168
428	18871	25117
429	18913	25071
430	18961	25032
431	19005	24989
432	19050	24946
433	19096	24904
434	19142	24862
435	19185	24818
436	19231	24775
437	19275	24732
438	19319	24688
439	19359	24639
440	19401	24593
441	19440	24542
442	19479	24492
443	19521	24445
444	19562	24398
445	19604	24352
446	19650	24310
447	19693	24265
448	19742	24228
449	19788	24185
450	19835	24145
451	19888	24112
452	19938	24075
453	19988	24039
454	20033	23996
455	20081	23956
456	20125	23912
457	20166	23865
458	20210	23820
459	20249	23770
460	20293	23726
461	20334	23679
462	20377	23634
463	20419	23587
464	20459	23539
465	20497	23488
466	20539	23442
467	20580	23394
468	20620	23346
469	20669	23307
470	20713	23264
471	20759	23222
472	20797	23171
473	20844	23131
474	20889	23088
475	20928	23038
476	20969	22991
477	21006	22940
478	21048	22893
479	21090	22848
480	21129	22798
481	21168	22749
482	21203	22696
483	21244	22649
484	21290	22607
485	21334	22563
486	21379	22521
487	21418	22471
488	21460	22426
489	21501	22379
490	21544	22334
491	21582	22283
492	21621	22235
493	21661	22187
494	21702	22141
495	21743	22093
496	21785	22048
497	21828	22003
498	21873	21961
499	21913	21913
500	21955	21867
501	22003	21828
502	22046	21783
503	22085	21734
504	22127	21689
505	22166	21641
506	22206	21593
507	22248	21547
508	22292	21504
509	22331	21455
510	22376	21413
511	22423	21372
512	22466	21328
513	22512	21286
514	22556	21242
515	22600	21199
516	22641	21152
517	22684	21107
518	22737	21073
519	22778	21025
520	22827	20987
521	22869	20941
522	22909	20894
523	22954	20851
524	22994	20804
525	23038	20761
526	23085	20720
527	23128	20675
528	23175	20634
529	23218	20589
530	23260	20544
531	23309	20505
532	23354	20462
533	23396	20417
534	23438	20371
535	23480	20326
536	23521	20280
537	23549	20223
538	23592	20178
539	23636	20135
540	23679	20090
541	23720	20044
542	23759	19996
543	23803	19952
544	23845	19907
545	23882	19858
546	23923	19812
547	23965	19767
548	24016	19729
549	24055	19682
550	24100	19639
551	24139	19591
552	24182	19547
553	24225	19502
554	24270	19460
555	24320	19421
556	24362	19376
557	24403	19330
558	24449	19288
559	24491	19243
560	24529	19195
561	24572	19150
562	24619	19109
563	24659	19063
564	24705	19020
565	24743	18972
566	24786	18928
567	24826	18882
568	24869	18838
569	24915	18796
570	24967	18758
571	25013	18716
572	25051	18668
573	25096	18625
574	25144	18584
575	25182	18536
576	25225	18492
577	25269	18449
578	25314	18406
579	25356	18361
580	25394	18314
581	25438	18269
582	25480	18225
583	25520	18178
584	25562	18133
585	25604	18088
586	25647	18045
587	25688	17999
588	25731	17955
589	25770	17908
590	25813	17864
591	25842	17810
592	25883	17764
593	25922	17718
594	25964	17673
595	26006	17628
596	26048	17583
597	26093	17540
598	26134	17495
599	26177	17451
600	26221	17408
601	26264	17364
602	26309	17321
603	26354	17278
604	26396	17233
605	26435	17187
606	26476	17141
607	26522	17099
608	26566	17056
609	26608	17012
610	26650	16967
611	26693	16923
612	26735	16878
613	26775	16832
614	26815	16786
615	26862	16745
616	26901	16698
617	26943	16654
618	26984	16609
619	27029	16566
620	27089	16532
621	27131	16488
622	27177	16445
623	27216	16399
624	27259	16355
625	27305	16313
626	27349	16269
627	27392	16226
628	27435	16182
629	27480	16139
630	27522	16094
631	27564	16050
632	27604	16004
633	27640	15956
634	27680	15910
635	27725	15868
636	27769	15824
637	27815	15782
638	27856	15737
639	27902	15695
640	27950	15653
641	28000	15613
642	28042	15569
643	28085	15525
644	28125	15480
645	28171	15437
646	28221	15397
647	28268	15355
648	28310	15311
649	28356	15268
650	28398	15224
651	28446	15182
652	28488	15138
653	28534	15096
654	28581	15054
655	28624	15010
656	28667	14966
657	28706	14920
658	28744	14874
659	28788	14830
660	28829	14785
661	28866	14738
662	28925	14702
663	28969	14659
664	29007	14612
665	29051	14569
666	29092	14524
667	29137	14481
668	29180	14437
669	29226	14394
670	29270	14351
671	29313	14307
672	29357	14264
673	29402	14221
674	29443	14176
675	29476	14127
676	29519	14084
677	29562	14039
678	29605	13996
679	29648	13952
680	29689	13907
681	29732	13863
682	29791	13827
683	29831	13781
684	29869	13735
685	29913	13692
686	29955	13647
687	29999	13604
688	30042	13560
689	30082	13515
690	30134	13475
691	30178	13432
692	30222	13388
693	30264	13344
694	30310	13301
695	30349	13256
696	30392	13212
697	30437	13169
698	30483	13126
699	30524	13082
700	30568	13038
701	30614	12995
702	30659	12952
703	30702	12909
704	30746	12865
705	30790	12822
706	30836	12779
707	30879	12735
708	30919	12690
709	30963	12646
710	31006	12603
711	31049	12559
712	31088	12513
713	31128	12468
714	31171	12425
715	31218	12382
716	31264	12339
717	31314	12299
718	31355	12254
719	31398	12210
720	31439	12166
721	31483	12122
722	31522	12076
723	31569	12034
724	31607	11989
725	31652	11945
726	31691	11900
727	31730	11855
728	31771	11810
729	31814	11766
730	31855	11722
731	31895	11677
732	31942	11635
733	31988	11592
734	32033	11549
735	32080	11507
736	32126	11464
737	32168	11420
738	32203	11373
739	32247	11330
740	32294	11287
741	32344	11246
742	32383	11201
743	32429	11158
744	32474	11115
745	32516	11071
746	32557	11026
747	32597	10981
748	32633	10935
749	32674	10891
750	32714	10846
751	32756	10802
752	32802	10759
753	32843	10715
754	32882	10670
755	32925	10626
756	32967	10582
757	33007	10537
758	33049	10493
759	33090	10449
760	33128	10404
761	33166	10359
762	33202	10313
763	33243	10268
764	33282	10224
765	33321	10179
766	33379	10140
767	33414	10093
768	33457	10050
769	33496	10005
770	33538	9961
771	33581	9917
772	33624	9874
773	33663	9829
774	33705	9785
775	33742	9740
776	33777	9694
777	33818	9649
778	33857	9605
779	33895	9560
780	33933	9515
781	33972	9470
782	34012	9426
783	34054	9382
784	34099	9339
785	34139	9294
786	34180	9250
787	34231	9209
788	34274	9166
789	34320	9123
790	34359	9078
791	34404	9035
792	34444	8991
793	34482	8946
794	34523	8902
795	34558	8856
796	34598	8812
797	34644	8769
798	34685	8725
799	34728	8682
800	34772	8638
801	34813	8594
802	34854	8550
803	34894	8506
804	34937	8463
805	34980	8419
806	35025	8376
807	35068	8333
808	35109	8289
809	35146	8244
810	35187	8200
811	35227	8156
812	35271	8112
813	35308	8068
814	35350	8024
815	35390	7980
816	35431	7936
817	35469	7891
818	35506	7846
819	35547	7803
820	35587	7759
821	35630	7715
822	35671	7671
823	35714	7628
824	35757	7584
825	35802	7541
826	35843	7498
827	35883	7454
828	35929	7411
829	35965	7366
830	36009	7323
831	36053	7279
832	36095	7236
833	36140	7193
834	36178	7149
835	36217	7104
836	36264	7062
837	36306	7018
838	36348	6975
839	36391	6931
840	36435	6888
841	36475	6844
842	36521	6801
843	36559	6757
844	36600	6713
845	36641	6670
846	36685	6626
847	36724	6582
848	36767	6539
849	36809	6495
850	36851	6452
851	36890	6408
852	36931	6364
853	36978	6321
854	37021	6278
855	37060	6234
856	37098	6190
857	37137	6146
858	37177	6102
859	37216	6058
860	37262	6015
861	37309	5973
862	37350	5929
863	37393	5885
864	37442	5843
865	37483	5800
866	37523	5756
867	37565	5712
868	37604	5668
869	37644	5625
870	37681	5580
871	37724	5537
872	37766	5494
873	37805	5450
874	37844	5406
875	37885	5362
876	37925	5319
877	37965	5275
878	38010	5232
879	38052	5188
880	38094	5145
881	38133	5101
882	38174	5058
883	38211	5014
884	38254	4970
885	38310	4929
886	38347	4885
887	38388	4841
888	38433	4798
889	38476	4755
890	38519	4712
891	38561	4668
892	38603	4625
893	38643	4581
894	38688	4538
895	38730	4495
896	38777	4452
897	38818	4409
898	38858	4365
899	38897	4321
900	38942	4278
901	38983	4235
902	39027	4192
903	39070	4149
904	39111	4105
905	39152	4062
906	39198	4019
907	39236	3975
908	39282	3932
909	39320	3888
910	39365	3845
911	39409	3802
912	39454	3759
913	39494	3716
914	39534	3672
915	39578	3629
916	39618	3585
917	39655	3542
918	39699	3499
919	39739	3455
920	39782	3412
921	39818	3368
922	39861	3325
923	39905	3282
924	39949	3239
925	39994	3196
926	40037	3152
927	40076	3109
928	40114	3065
929	40149	3021
930	40193	2978
931	40237	2935
932	40279	2892
933	40322	2849
934	40362	2805
935	40403	2762
936	40448	2719
937	40488	2676
938	40548	2634
939	40588	2590
940	40631	2547
941	40673	2504
942	40718	2461
943	40759	2417
944	40799	2374
945	40846	2331
946	40889	2288
947	40932	2245
948	40974	2201
949	41012	2158
950	41052	2115
951	41094	2071
952	41136	2028
953	41180	1985
954	41222	1942
955	41261	1899
956	41304	1855
957	41346	1812
958	41387	1769
959	41422	1725
960	41467	1682
961	41508	1639
962	41551	1596
963	41592	1553
964	41627	1509
965	41671	1466
966	41711	1423
967	41752	1380
968	41796	1337
969	41837	1293
970	41878	1250
971	41919	1207
972	41961	1164
973	42001	1121
974	42044	1078
975	42085	1034
976	42126	991
977	42170	948
978	42209	905
979	42247	862
980	42285	818
981	42329	775
982	42374	732
983	42414	689
984	42458	646
985	42500	603
986	42542	560
987	42582	517
988	42620	474
989	42664	430
990	42709	387
991	42750	344
992	42792	301
993	42836	258
994	42879	215
995	42925	172
996	42962	129
997	43003	86
998	43050	43
999	43090	0
