iter	RMSE
306	1.825948375
307	1.825568702
308	1.824914246
309	1.824474379
310	1.824030246
311	1.823652658
312	1.82330517
313	1.823060823
314	1.822689242
315	1.822269725
316	1.821814066
317	1.821336432
318	1.821032017
319	1.820399951
320	1.819991017
321	1.819637889
322	1.819209959
323	1.818851096
324	1.818618897
325	1.818132035
326	1.817739638
327	1.817330355
328	1.817149023
329	1.816757283
330	1.816312035
331	1.815940104
332	1.815183599
333	1.814845475
334	1.814320862
335	1.814278978
336	1.813928594
337	1.813494041
338	1.813110195
339	1.812828575
340	1.812416602
341	1.812281638
342	1.811807409
343	1.811394178
344	1.810989645
345	1.810734197
346	1.810462418
347	1.809812968
348	1.809379191
349	1.809008196
350	1.808645448
351	1.808339061
352	1.808045339
353	1.807677367
354	1.807061713
355	1.806696028
356	1.806331436
357	1.806021194
358	1.805569458
359	1.805219636
360	1.804873247
361	1.804623812
362	1.804211585
363	1.803409477
364	1.80315258
365	1.802851556
366	1.802599878
367	1.802093355
368	1.80176849
369	1.801541367
370	1.801506649
371	1.8010981
372	1.80087216
373	1.800564986
374	1.800204426
375	1.79986407
376	1.799041547
377	1.798575518
378	1.798281601
379	1.797918314
380	1.797505325
381	1.797294153
382	1.796905972
383	1.796591091
384	1.796180207
385	1.795888221
386	1.79560394
387	1.795409203
388	1.795053706
389	1.794694022
390	1.794380622
391	1.794019689
392	1.793673195
393	1.793643577
394	1.793389081
395	1.793271994
396	1.792884418
397	1.792613578
398	1.792238615
399	1.7918664
400	1.791610106
401	1.791141914
402	1.790998245
403	1.790581016
404	1.790373907
405	1.790023143
406	1.789551268
407	1.78921927
408	1.788749256
409	1.788402121
410	1.788081778
411	1.787425265
412	1.786826603
413	1.786382991
414	1.78601058
415	1.78559563
416	1.785208577
417	1.784879943
418	1.784600844
419	1.784251118
420	1.783928804
421	1.783647891
422	1.783538738
423	1.783324138
424	1.782855596
425	1.782248091
426	1.782044077
427	1.781840062
428	1.781469884
429	1.781177904
430	1.780839008
431	1.780531085
432	1.780201668
433	1.779868106
434	1.779437342
435	1.778884436
436	1.778572702
437	1.778042743
438	1.777747782
439	1.77736056
440	1.777085629
441	1.776794728
442	1.776462881
443	1.776257871
444	1.775957763
445	1.775729324
446	1.775413742
447	1.775102806
448	1.774564966
449	1.774201449
450	1.773932129
451	1.773554474
452	1.773197832
453	1.772899712
454	1.772375335
455	1.772200493
456	1.772159689
457	1.77178449
458	1.771363708
459	1.771100911
460	1.770724104
461	1.770422629
462	1.770184802
463	1.769940323
464	1.769670991
465	1.769395069
466	1.769167341
467	1.76882376
468	1.768480338
469	1.768278398
470	1.767937798
471	1.767699545
472	1.767367915
473	1.766905531
474	1.766254021
475	1.766077573
476	1.765906105
477	1.765554619
478	1.765200725
479	1.764776524
480	1.764416256
481	1.764126547
482	1.763793337
483	1.763547086
484	1.763289408
485	1.763009191
486	1.762612039
487	1.762209594
488	1.7620283
489	1.76175765
490	1.761372312
491	1.761138853
492	1.760856059
493	1.760420269
494	1.760235393
495	1.760029928
496	1.759634681
497	1.759351115
498	1.759040301
499	1.758570773
500	1.758235282
501	1.757903156
502	1.757622958
503	1.757346398
504	1.757188134
505	1.756711188
506	1.756412296
507	1.756156739
508	1.755947779
509	1.755739938
510	1.755508267
511	1.755226153
512	1.755005665
513	1.754761465
514	1.75454416
515	1.754520333
516	1.754276397
517	1.753733327
518	1.753346865
519	1.753020937
520	1.752751606
521	1.752427007
522	1.752100041
523	1.75188178
524	1.751615634
525	1.751299245
526	1.751030748
527	1.750687706
528	1.750517346
529	1.749850023
530	1.749603618
531	1.749373748
532	1.748998167
533	1.74860078
534	1.748270532
535	1.748039913
536	1.74758872
537	1.747339234
538	1.74713363
539	1.746599812
540	1.746136777
541	1.745925602
542	1.745619021
543	1.745406646
544	1.745080592
545	1.744577536
546	1.744466217
547	1.744169999
548	1.743714771
549	1.7435031
550	1.743087801
551	1.742639228
552	1.742433907
553	1.742162252
554	1.741749681
555	1.741508479
556	1.741333153
557	1.741068536
558	1.74091531
559	1.740629582
560	1.740393962
561	1.740229984
562	1.740027666
563	1.739813044
564	1.739655476
565	1.739579559
566	1.739258924
567	1.739078972
568	1.738835566
569	1.738363749
570	1.738185109
571	1.737896522
572	1.737562494
573	1.737296975
574	1.736970997
575	1.736588162
576	1.736227859
577	1.73588856
578	1.735652908
579	1.735494841
580	1.735470568
581	1.735302082
582	1.735034574
583	1.734766775
584	1.734560193
585	1.734310095
586	1.733974136
587	1.733434369
588	1.733085585
589	1.732773463
590	1.732515046
591	1.732272144
592	1.731931566
593	1.731583939
594	1.731268435
595	1.730891292
596	1.730627203
597	1.730463936
598	1.730167884
599	1.729773859
600	1.729527665
601	1.729287964
602	1.728941195
603	1.728576602
604	1.728390026
605	1.728188578
606	1.727845341
607	1.727634009
608	1.727434102
609	1.72714794
610	1.7268843
611	1.726536303
612	1.726359963
613	1.726153935
614	1.725832827
615	1.725580827
616	1.725401549
617	1.725277555
618	1.725058417
619	1.724501841
620	1.724276299
621	1.724066679
622	1.723732238
623	1.723428102
624	1.723126639
625	1.722824235
626	1.72249466
627	1.722227613
628	1.721869015
629	1.721595316
630	1.721364688
631	1.721134473
632	1.721078499
633	1.720848476
634	1.720591403
635	1.720308132
636	1.720108833
637	1.719917465
638	1.719612848
639	1.719186027
640	1.719032495
641	1.718796227
642	1.718588699
643	1.718342728
644	1.718106915
645	1.717614301
646	1.717378379
647	1.717103705
648	1.71686121
649	1.716710174
650	1.716445918
651	1.716129244
652	1.715934482
653	1.715881019
654	1.715689032
655	1.715287889
656	1.71502089
657	1.714696063
658	1.714452918
659	1.714183351
660	1.714048299
661	1.713785389
662	1.713544404
663	1.713234342
664	1.713046993
665	1.713023738
666	1.71280672
667	1.712506582
668	1.712096869
669	1.711897926
670	1.711644214
671	1.711166752
672	1.710929477
673	1.710604695
674	1.710466868
675	1.710192722
676	1.709873114
677	1.709745949
678	1.709504882
679	1.709357744
680	1.70906782
681	1.708903969
682	1.708641731
683	1.708494209
684	1.708289084
685	1.708050597
686	1.707605052
687	1.707382321
688	1.707143459
689	1.706896121
690	1.706735269
691	1.706494941
692	1.706443918
693	1.706061051
694	1.705842125
695	1.705601769
696	1.705377781
697	1.705141918
698	1.704721802
699	1.70434587
700	1.70406315
701	1.703830544
702	1.703612464
703	1.703445889
704	1.703197392
705	1.702911183
706	1.702592412
707	1.702430693
708	1.702153967
709	1.702014984
710	1.701823651
711	1.701575027
712	1.701376702
713	1.700913231
714	1.700656497
715	1.700347984
716	1.700182083
717	1.69998582
718	1.699696642
719	1.699533279
720	1.699260965
721	1.699059661
722	1.698877808
723	1.698576731
724	1.698196954
725	1.698001208
726	1.697718072
727	1.697439923
728	1.697096681
729	1.696869046
730	1.69661099
731	1.696292098
732	1.696090822
733	1.695899062
734	1.695650939
735	1.695367432
736	1.694877868
737	1.694570245
738	1.694296379
739	1.694274592
740	1.694129461
741	1.693964688
742	1.693732991
743	1.693437681
744	1.693141689
745	1.69282982
746	1.692615266
747	1.692477664
748	1.692272434
749	1.691922799
750	1.691725537
751	1.691487746
752	1.691255929
753	1.691167245
754	1.691017464
755	1.690834485
756	1.690523258
757	1.690233143
758	1.68987696
759	1.689513239
760	1.689126315
761	1.688778005
762	1.688463197
763	1.688267962
764	1.687712737
765	1.68737367
766	1.687159651
767	1.686933854
768	1.686670729
769	1.686635973
770	1.686456721
771	1.686280251
772	1.686099918
773	1.685924746
774	1.685617011
775	1.68545619
776	1.685440642
777	1.685262716
778	1.685115616
779	1.684904634
780	1.684712455
781	1.68443011
782	1.684252357
783	1.683954626
784	1.683774089
785	1.683474824
786	1.683295992
787	1.683055332
788	1.682854793
789	1.68270074
790	1.682615835
791	1.682398329
792	1.682171864
793	1.681918856
794	1.681761017
795	1.681555533
796	1.681313187
797	1.681013728
798	1.680766471
799	1.680550397
800	1.680535608
801	1.680327448
802	1.680152955
803	1.679920649
804	1.679684326
805	1.679555972
806	1.679350711
807	1.679119698
808	1.678891179
809	1.678590756
810	1.678157782
811	1.677996193
812	1.677678058
813	1.677343527
814	1.677052646
815	1.676884836
816	1.676872346
817	1.676576646
818	1.676401773
819	1.676071392
820	1.675860313
821	1.675393912
822	1.675126314
823	1.674887012
824	1.674795779
825	1.674636844
826	1.674412552
827	1.674110496
828	1.67385113
829	1.673635189
830	1.673387195
831	1.673089807
832	1.672747805
833	1.672449484
834	1.672290237
835	1.671992629
836	1.671790974
837	1.671571652
838	1.671308632
839	1.671247616
840	1.671230149
841	1.670946203
842	1.670604264
843	1.670442741
844	1.670146569
845	1.669816032
846	1.66953726
847	1.669302118
848	1.669081199
849	1.668802
850	1.668613115
851	1.668405451
852	1.668218741
853	1.667901993
854	1.667807261
855	1.667600256
856	1.667330168
857	1.667139371
858	1.666799175
859	1.666560997
860	1.666363407
861	1.666177736
862	1.666045045
863	1.665759901
864	1.665542174
865	1.665270306
866	1.664930343
867	1.664784882
868	1.664734619
869	1.664494521
870	1.664262046
871	1.664021237
872	1.663809696
873	1.663419105
874	1.663211526
875	1.663119194
876	1.662913575
877	1.662897662
878	1.662703593
879	1.66250143
880	1.662282677
881	1.662136233
882	1.661973068
883	1.661727246
884	1.661534758
885	1.661331779
886	1.661143526
887	1.660828913
888	1.6607017
889	1.660565552
890	1.660404289
891	1.660056878
892	1.659854893
893	1.659524259
894	1.659313538
895	1.659025781
896	1.658773602
897	1.658610755
898	1.65845703
899	1.658267502
900	1.658027312
901	1.657896761
902	1.657700633
903	1.657592113
904	1.657317092
905	1.657056631
906	1.656867105
907	1.6565512
908	1.656428154
909	1.656292612
910	1.656066531
911	1.65572506
912	1.655419799
913	1.655217852
914	1.655043987
915	1.654824637
916	1.654559846
917	1.654396057
918	1.654223015
919	1.65402858
920	1.653767002
921	1.653555232
922	1.653471599
923	1.653305474
924	1.653101208
925	1.652918299
926	1.652721909
927	1.652532109
928	1.652332001
929	1.652133674
930	1.651965892
931	1.651509556
932	1.651383327
933	1.651147367
934	1.650883678
935	1.65066368
936	1.650420979
937	1.650186913
938	1.650171117
939	1.649979605
940	1.649729334
941	1.649610446
942	1.649347245
943	1.649046909
944	1.648763607
945	1.648530118
946	1.648314064
947	1.648058759
948	1.647882594
949	1.647689643
950	1.647571768
951	1.647314891
952	1.64719053
953	1.647014903
954	1.646788621
955	1.646664809
956	1.646397959
957	1.646233073
958	1.646065117
959	1.645667799
960	1.645483912
961	1.645336592
962	1.645094494
963	1.644975878
964	1.64472498
965	1.644602796
966	1.64444904
967	1.64430342
968	1.644098559
969	1.643866613
970	1.643670327
971	1.643434611
972	1.643169202
973	1.642918603
974	1.642551138
975	1.642385594
976	1.642187111
977	1.642044167
978	1.641874282
979	1.641519989
980	1.641264374
981	1.641050787
982	1.640836015
983	1.640613017
984	1.640367115
985	1.640162816
986	1.639932177
987	1.639745587
988	1.639443239
989	1.639188386
990	1.639019444
991	1.638767704
992	1.63842635
993	1.638300657
994	1.638149064
995	1.637979066
996	1.637809101
997	1.637604188
998	1.637481006
999	1.6373102
